seed,network,method,in_dist,shift,degradation
0,mlp,uncon_all,0.6125654450261779,0.6227848101265823,0.010219365100404332
0,mlp,con_all,2.136125654450262,2.10379746835443,-0.03232818609583177
0,mlp,dsep_uncon,0.5732984293193717,0.4405063291139241,-0.13279210020544757
0,mlp,dsep_con,0.5732984293193717,0.4405063291139241,-0.13279210020544757
0,deep_mlp,uncon_all,0.6125654450261779,0.6227848101265823,0.010219365100404332
0,deep_mlp,con_all,0.5863874345549738,0.4632911392405064,-0.12309629531446736
0,deep_mlp,dsep_uncon,0.5732984293193717,0.4405063291139241,-0.13279210020544757
0,deep_mlp,dsep_con,0.5732984293193717,0.4405063291139241,-0.13279210020544757
1,mlp,uncon_all,0.5349999999999999,1.0231660231660231,0.4881660231660232
1,mlp,con_all,0.5174999999999998,0.7799227799227797,0.26242277992277985
1,mlp,dsep_uncon,0.5174999999999998,0.7799227799227797,0.26242277992277985
1,mlp,dsep_con,0.5174999999999998,0.7799227799227797,0.26242277992277985
1,deep_mlp,uncon_all,0.5174999999999998,0.7799227799227797,0.26242277992277985
1,deep_mlp,con_all,0.5174999999999998,0.7799227799227797,0.26242277992277985
1,deep_mlp,dsep_uncon,0.5174999999999998,0.7799227799227797,0.26242277992277985
1,deep_mlp,dsep_con,0.5174999999999998,0.7799227799227797,0.26242277992277985
2,mlp,uncon_all,0.4804597701149424,0.7561837455830387,0.2757239754680963
2,mlp,con_all,1.0,2.918727915194346,1.9187279151943462
2,mlp,dsep_uncon,0.4804597701149424,0.7561837455830387,0.2757239754680963
2,mlp,dsep_con,0.4804597701149424,0.7561837455830387,0.2757239754680963
2,deep_mlp,uncon_all,0.4804597701149424,0.7561837455830387,0.2757239754680963
2,deep_mlp,con_all,1.0,2.918727915194346,1.9187279151943462
2,deep_mlp,dsep_uncon,0.4804597701149424,0.7561837455830387,0.2757239754680963
2,deep_mlp,dsep_con,0.4804597701149424,0.7561837455830387,0.2757239754680963
3,mlp,uncon_all,0.741573033707865,0.5203252032520324,-0.22124783045583263
3,mlp,con_all,1.0,1.0,0.0
3,mlp,dsep_uncon,0.741573033707865,0.5203252032520324,-0.22124783045583263
3,mlp,dsep_con,0.741573033707865,0.5203252032520324,-0.22124783045583263
3,deep_mlp,uncon_all,0.741573033707865,0.5203252032520324,-0.22124783045583263
3,deep_mlp,con_all,1.0,1.0,0.0
3,deep_mlp,dsep_uncon,0.741573033707865,0.5203252032520324,-0.22124783045583263
3,deep_mlp,dsep_con,0.741573033707865,0.5203252032520324,-0.22124783045583263
4,mlp,uncon_all,0.6388059701492537,0.9100719424460431,0.2712659722967894
4,mlp,con_all,1.0,1.0,0.0
4,mlp,dsep_uncon,0.6119402985074627,0.7374100719424458,0.1254697734349831
4,mlp,dsep_con,0.6119402985074627,0.7374100719424458,0.1254697734349831
4,deep_mlp,uncon_all,0.6388059701492537,0.9100719424460431,0.2712659722967894
4,deep_mlp,con_all,1.0,1.0,0.0
4,deep_mlp,dsep_uncon,0.6119402985074627,0.7374100719424458,0.1254697734349831
4,deep_mlp,dsep_con,0.6119402985074627,0.7374100719424458,0.1254697734349831
5,mlp,uncon_all,0.5794701986754968,0.6702127659574468,0.09074256728195007
5,mlp,con_all,1.0,1.930851063829787,0.9308510638297871
5,mlp,dsep_uncon,0.5794701986754968,0.5425531914893615,-0.03691700718613522
5,mlp,dsep_con,0.5794701986754968,0.5425531914893615,-0.03691700718613522
5,deep_mlp,uncon_all,0.5794701986754968,0.5425531914893615,-0.03691700718613522
5,deep_mlp,con_all,1.0,1.930851063829787,0.9308510638297871
5,deep_mlp,dsep_uncon,0.5794701986754968,0.5425531914893615,-0.03691700718613522
5,deep_mlp,dsep_con,0.5794701986754968,0.5425531914893615,-0.03691700718613522
6,mlp,uncon_all,0.45330296127562636,0.6699751861042184,0.216672224828592
6,mlp,con_all,1.0,1.0,0.0
6,mlp,dsep_uncon,0.43280182232346237,0.49131513647642666,0.05851331415296429
6,mlp,dsep_con,0.43280182232346237,0.49131513647642666,0.05851331415296429
6,deep_mlp,uncon_all,0.43280182232346237,0.49131513647642666,0.05851331415296429
6,deep_mlp,con_all,1.0,1.0,0.0
6,deep_mlp,dsep_uncon,0.43280182232346237,0.49131513647642666,0.05851331415296429
6,deep_mlp,dsep_con,0.43280182232346237,0.49131513647642666,0.05851331415296429
7,mlp,uncon_all,0.5034642032332562,0.6839378238341969,0.18047362060094063
7,mlp,con_all,1.577367205542725,0.7124352331606219,-0.8649319723821032
7,mlp,dsep_uncon,0.4642032332563509,0.5129533678756475,0.048750134619296615
7,mlp,dsep_con,0.4642032332563509,0.5129533678756475,0.048750134619296615
7,deep_mlp,uncon_all,0.5034642032332562,0.6839378238341969,0.18047362060094063
7,deep_mlp,con_all,1.6997690531177827,0.821243523316062,-0.8785255298017207
7,deep_mlp,dsep_uncon,0.4642032332563509,0.5129533678756475,0.048750134619296615
7,deep_mlp,dsep_con,0.4642032332563509,0.5129533678756475,0.048750134619296615
8,mlp,uncon_all,0.7681159420289854,0.9477911646586344,0.17967522262964908
8,mlp,con_all,1.0,1.0,0.0
8,mlp,dsep_uncon,0.7463768115942027,0.6947791164658637,-0.051597695128339005
8,mlp,dsep_con,0.7463768115942027,0.6947791164658637,-0.051597695128339005
8,deep_mlp,uncon_all,0.7826086956521737,1.1285140562248996,0.3459053605727259
8,deep_mlp,con_all,1.0,1.0,0.0
8,deep_mlp,dsep_uncon,0.7463768115942027,0.6947791164658637,-0.051597695128339005
8,deep_mlp,dsep_con,0.7463768115942027,0.6947791164658637,-0.051597695128339005
9,mlp,uncon_all,0.4473684210526317,0.9752650176678445,0.5278965966152127
9,mlp,con_all,1.0,2.9045936395759715,1.9045936395759715
9,mlp,dsep_uncon,0.43301435406698574,0.7102473498233213,0.27723299575633553
9,mlp,dsep_con,0.43301435406698574,0.7102473498233213,0.27723299575633553
9,deep_mlp,uncon_all,0.43301435406698574,0.7102473498233213,0.27723299575633553
9,deep_mlp,con_all,1.0,2.9045936395759715,1.9045936395759715
9,deep_mlp,dsep_uncon,0.43301435406698574,0.7102473498233213,0.27723299575633553
9,deep_mlp,dsep_con,0.43301435406698574,0.7102473498233213,0.27723299575633553
10,mlp,uncon_all,0.5887850467289719,0.6426332288401254,0.0538481821111535
10,mlp,con_all,0.8099688473520251,2.1003134796238245,1.2903446322717995
10,mlp,dsep_uncon,0.5887850467289719,0.6426332288401254,0.0538481821111535
10,mlp,dsep_con,0.5887850467289719,0.6426332288401254,0.0538481821111535
10,deep_mlp,uncon_all,0.6199376947040498,0.6896551724137931,0.06971747770974335
10,deep_mlp,con_all,0.7975077881619939,2.0815047021943576,1.2839969140323637
10,deep_mlp,dsep_uncon,0.5887850467289719,0.6426332288401254,0.0538481821111535
10,deep_mlp,dsep_con,0.5887850467289719,0.6426332288401254,0.0538481821111535
11,mlp,uncon_all,0.5563909774436089,0.5775075987841944,0.021116621340585562
11,mlp,con_all,0.736842105263158,2.306990881458967,1.570148776195809
11,mlp,dsep_uncon,0.5563909774436089,0.5775075987841944,0.021116621340585562
11,mlp,dsep_con,0.5563909774436089,0.5775075987841944,0.021116621340585562
11,deep_mlp,uncon_all,0.5563909774436089,0.5775075987841944,0.021116621340585562
11,deep_mlp,con_all,0.736842105263158,2.306990881458967,1.570148776195809
11,deep_mlp,dsep_uncon,0.5563909774436089,0.5775075987841944,0.021116621340585562
11,deep_mlp,dsep_con,0.5563909774436089,0.5775075987841944,0.021116621340585562
12,mlp,uncon_all,0.42528735632183917,0.6587301587301587,0.23344280240831955
12,mlp,con_all,1.5149425287356322,1.896825396825397,0.3818828680897648
12,mlp,dsep_uncon,0.4137931034482759,0.4814814814814816,0.06768837803320571
12,mlp,dsep_con,0.4137931034482759,0.4814814814814816,0.06768837803320571
12,deep_mlp,uncon_all,0.4137931034482759,0.4814814814814816,0.06768837803320571
12,deep_mlp,con_all,0.4137931034482759,0.4814814814814816,0.06768837803320571
12,deep_mlp,dsep_uncon,0.4137931034482759,0.4814814814814816,0.06768837803320571
12,deep_mlp,dsep_con,0.4137931034482759,0.4814814814814816,0.06768837803320571
13,mlp,uncon_all,0.6656346749226006,0.6057692307692305,-0.05986544415337014
13,mlp,con_all,0.8606811145510838,2.03525641025641,1.1745752957053264
13,mlp,dsep_uncon,0.6656346749226006,0.6057692307692305,-0.05986544415337014
